neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L22_N3582,False,120,-0.0036559740702311193,0.0003999200159968006,-0.0006959160168965657,0.8010397920415917,0.0009794155756632486,0.38132373525294944,-0.0008805274963378906,0.7614477104579084,0.0026765522857507065,0.0001999600079984003,0.0015764991442362467,0.26294741051789644,,
L22_N409,False,120,-0.00033503969510396313,0.6476704659068186,0.0035419384638468426,0.3021395720855829,9.733140468597418e-05,0.861627674465107,-0.004598701000213623,0.17876424715056988,0.00023771946628888454,0.5834833033393322,0.0010567208131154378,0.5312937412517497,,
L23_N12156,True,120,0.0007846832275390622,0.34273145370925817,-0.0004993319511413574,0.8570285942811438,-0.0008494724829991656,0.27734453109378127,0.0011437257130940755,0.6106778644271146,6.48021697998045e-05,0.8950209958008398,-0.0006443579991658528,0.595880823835233,-0.0210281927138566,23.1
L23_N12855,True,120,-2.395510673522952e-05,0.9734053189362127,0.0032468756039937337,0.36052789442111577,-0.0005901614824930827,0.38812237552489504,-0.0009696404139200846,0.8016396720655868,0.0006140890220801033,0.16676664667066587,-0.0022773265838623045,0.1941611677664467,0.0125995874404907,14.9
L24_N2286,False,120,-0.0003219753503799441,0.6618676264747051,-0.0009801864624023437,0.7126574685062987,-0.00030945142110188804,0.7286542691461708,0.0015911062558492024,0.5120975804839032,0.0006314275165398913,0.15696860627874426,-0.0006109118461608887,0.7110577884423115,,
L24_N7891,True,120,0.0006969302892684934,0.47890421915616876,0.000344693660736084,0.9188162367526495,-0.0003332982460657756,0.7464507098580284,-0.001298983891805013,0.7004599080183963,-0.00036364619930585206,0.5556888622275545,0.0009542256593704224,0.5692861427714457,0.130794957280159,88.0
L24_N8279,False,120,0.0008872777223587036,0.23995200959808038,0.0027426838874816894,0.17056588682263546,-0.0011093169450759883,0.19876024795040992,0.0005104939142862955,0.8078384323135372,0.00022205139199892672,0.6016796640671865,-0.0032531479994455975,0.033993201359728054,,
L26_N11322,True,120,0.002710482478141784,0.005198960207958408,0.0002289414405822754,0.9424115176964607,-0.0005839159091313678,0.5398920215956808,0.002119123935699463,0.5126974605078984,-0.002126577744881312,0.0001999600079984003,-0.0023479650417963663,0.1783643271345731,0.1778333038091659,95.4
L26_N2788,True,120,0.000834141174952189,0.34553089382123575,0.0008231838544209798,0.8132373525294941,0.0006924629211425779,0.45910817836432716,8.954604466756184e-05,0.979004199160168,-0.0015265725553035737,0.004799040191961607,-0.0009127219518025716,0.6000799840031994,-0.1063268929719924,80.2
L26_N4012,False,120,0.0002909501393636068,0.6980603879224155,-0.0002888321876525879,0.9278144371125775,-0.0001206239064534505,0.8460307938412317,0.001633763313293457,0.6762647470505899,-0.0001703170438607534,0.708258348330334,-0.0013449142376581829,0.4153169366126775,,
